Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W27,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W27,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,,7,28,0,-28.00 🔴,14
W27,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,,2.5,10,0,-10.00 🔴,5
W27,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Dispatcher,> 97 %,> 95 %,100 %,2.5,10,10,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Acidente Fatal,> 0,,,0,0,0,0.00 🟢,0
W27,JM TRANSP.,,FM - FULL,Pickup Sucess (SI) FULL,> 97.9 %,> 95.9 %,69.85 %,7,28,0,-28.00 🔴,0
W27,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.6 %,> 90.6 %,65.64 %,6,24,0,-24.00 🔴,0
W27,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,99.07 %,3,12,12,0.00 🟢,0
W27,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,,3,12,0,-12.00 🔴,0
W27,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,43.2 %,3,12,0,-12.00 🔴,0
W27,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,26.79 %,3,12,0,-12.00 🔴,0
W27,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,57.83 %,7,28,0,-28.00 🔴,12
W27,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,44.6 %,4,16,0,-16.00 🔴,7
W27,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,96.41 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,91.64 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,99.83 %,3,12,12,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,,3,12,0,-12.00 🔴,5
W27,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.5 %,91.83 %,7,28,0,-28.00 🔴,1
W27,JM TRANSP.,,LM,PNR Anulado,> 0 %,,0 %,0,0,0,0.00 🟢,0
W27,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,9.09 %,4,16,0,-16.00 🔴,0
W27,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,0.79 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,0 %,5,20,0,-20.00 🔴,1
W27,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,43.2 %,5,20,0,-20.00 🔴,1
W27,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.5 %,81.77 %,8,32,0,-32.00 🔴,1
W27,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,0 %,6,24,0,-24.00 🔴,1
W27,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,0 %,5,20,0,-20.00 🔴,0
W27,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,,6,24,0,-24.00 🔴,1
W27,JM TRANSP.,,XPT,BPP XPT,< 0 %,,0 %,0,0,0,0.00 🟢,0
W27,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W27,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0 %,-3,-12,0,0.00 🟢,
W27,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.76 %,-4,-16,0,0.00 🟢,
W27,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,80.26 %,1,0,2,2.00 🟢,
