Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W9,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W6,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W12,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W18,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W7,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W19,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Abr,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W28,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W21,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W11,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W29,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W17,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W16,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Jun,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W13,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W20,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W14,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Mar,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W15,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Fev,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W10,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
Jul,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W17,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W12,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W14,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Abr,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
