Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W24,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W26,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W23,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W25,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
Mai,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W23,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,77.44 %,7,28,0,-28.00 🔴,14
W25,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,,7,28,0,-28.00 🔴,14
W24,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,,7,28,0,-28.00 🔴,14
W26,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,,7,28,0,-28.00 🔴,14
Mai,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,78.4 %,7,28,0,-28.00 🔴,14
W23,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.8 %,2.5,10,5,-5.00 🔴,3
W23,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.75 %,2.5,10,5,-5.00 🔴,3
W24,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.31 %,2.5,10,5,-5.00 🔴,3
W25,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.17 %,2.5,10,5,-5.00 🔴,3
W26,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.23 %,2.5,10,5,-5.00 🔴,3
