Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W25,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W21,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W22,JM TRANSP.,,SAFETY,Comunicação de Acidente,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W21,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W22,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,8,6,0.00 🟢,0
W21,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W25,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W24,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W22,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W23,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
